id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
825033907712172032,825033907712172032,2017-01-27 18:33:06 CET,2017-01-27,18:33:06,+0100,233425321,drewington,Jin Sakai 🥷🏾,"{'type': 'Point', 'coordinates': [36.83023085, -76.12850589]}",I always see people from my job smoking cigarettes a few feet from my job. I wonder how they would feel if I pull up with a black lol,en,[],[],[],0,0,0,[],[],https://twitter.com/drewINGTON/status/825033907712172032,False,,0,,,"39,-98,2400km",,,,,[],,,,
824418565885489153,824418565885489153,2017-01-26 01:47:57 CET,2017-01-26,01:47:57,+0100,329359268,gorandallgo,R A N D A L L,"{'type': 'Point', 'coordinates': [40.76439872, -73.95711144]}","Cigarette smoking is responsible for more than 480,000 deaths per year in the United States,…  https://t.co/v3JuXCbFI8",en,[],['https://www.instagram.com/p/BPtUBTfAAOM/'],[],0,0,1,[],[],https://twitter.com/gorandallgo/status/824418565885489153,False,,0,,,"39,-98,2400km",,,,,[],,,,
824283313833648128,824283313833648128,2017-01-25 16:50:31 CET,2017-01-25,16:50:31,+0100,190741565,carlosdetres,Carlos Detres,"{'type': 'Point', 'coordinates': [29.96865486, -90.05509254]}","I was alone outside of Kajun's Pub on St. Claude, smoking a cigarette and enjoying a beer. This…  https://t.co/wNOwejnQh3",en,[],['https://www.instagram.com/p/BPsWg9JA2El/'],[],1,0,0,[],[],https://twitter.com/CarlosDetres/status/824283313833648128,False,,0,,,"39,-98,2400km",,,,,[],,,,
823907395843817477,823907395843817477,2017-01-24 15:56:45 CET,2017-01-24,15:56:45,+0100,104718312,legiscanin,LegiScan IN,"{'type': 'Point', 'coordinates': [39.76859, -86.162634]}",HB1578 [NEW] Cigarette tax and smoking age. Increases the cigarette tax by $1.50 to $2.495 per pack of regular si...  https://t.co/zBsd7595zZ,en,[],['http://bitly.com/VZ3gLa'],[],0,0,0,[],[],https://twitter.com/LegiScanIN/status/823907395843817477,False,,0,,,"39,-98,2400km",,,,,[],,,,
823737841607999490,823737841607999490,2017-01-24 04:43:00 CET,2017-01-24,04:43:00,+0100,163911007,saveriotruglia,Saverio,"{'type': 'Point', 'coordinates': [41.851336, -87.657901]}","Fellow artist in my studio building was smoking clove cigarettes, which whipped me back to my…  https://t.co/eoV6WHNkJp",en,[],['https://www.instagram.com/p/BPoedv-AcFQ/'],[],0,0,0,[],[],https://twitter.com/saveriotruglia/status/823737841607999490,False,,0,,,"39,-98,2400km",,,,,[],,,,
823062292615020544,823062292615020544,2017-01-22 07:58:36 CET,2017-01-22,07:58:36,+0100,125907230,luigiottavio_80,LUIS OCTAVIO PADILLA,"{'type': 'Point', 'coordinates': [19.4246851, -99.166661]}",Today I decided to quit smoking forever. That was my last cigarette. #betterlife…  https://t.co/q9Ldzjncod,en,[],['https://www.instagram.com/p/BPjrPTwluBe/'],[],0,0,0,['betterlife'],[],https://twitter.com/LuigiOttavio_80/status/823062292615020544,False,,0,,,"39,-98,2400km",,,,,[],,,,
822859395679731712,822859395679731712,2017-01-21 18:32:22 CET,2017-01-21,18:32:22,+0100,724714602882179073,theswitchvape,The Switch Vape,"{'type': 'Point', 'coordinates': [29.43589, -98.71399]}",SMOK Vape Pen 22 is perfect for the the person who wants to quit smoking nasty cigarettes but…  https://t.co/eiuOAeoMNX,en,[],['https://www.instagram.com/p/BPiO_gqhSRb/'],[],0,0,0,[],[],https://twitter.com/theswitchvape/status/822859395679731712,False,,0,,,"39,-98,2400km",,,,,[],,,,
822334929178599425,822334929178599425,2017-01-20 07:48:20 CET,2017-01-20,07:48:20,+0100,272151679,dancesofgalante,Rosatio Glanate,"{'type': 'Point', 'coordinates': [43.15652016, -77.60149184]}",Oh and there's someone in an anonymous mask smoking a cigarette outside of a bar.,en,[],[],[],0,0,0,[],[],https://twitter.com/DancesofGalante/status/822334929178599425,False,,0,,,"39,-98,2400km",,,,,[],,,,
822076300366004226,822076300366004226,2017-01-19 14:40:38 CET,2017-01-19,14:40:38,+0100,70381121,denvercp,Denver Now,"{'type': 'Point', 'coordinates': [39.74601199, -104.99459343]}",Glenwood Springs is now banning smoking. If you light up a cigarette in certain areas you could pay up to…  https://t.co/xiUISzuuLX,en,[],['http://toplocalnow.com/us/denver'],[],0,0,0,[],[],https://twitter.com/DenverCP/status/822076300366004226,False,,0,,,"39,-98,2400km",,,,,[],,,,
821806151905910784,821806151905910784,2017-01-18 20:47:09 CET,2017-01-18,20:47:09,+0100,68293330,calgarycp,Calgary Now,"{'type': 'Point', 'coordinates': [51.04839287, -114.05940132]}",An anti-smoking group is calling for an increase of $1.50 on cigarette packs in Alberta ab yyc smoking…  https://t.co/lpc9117r4w,en,[],['https://twitter.com/i/web/status/821801597239902208'],[],0,0,0,[],[],https://twitter.com/CalgaryCP/status/821806151905910784,False,,0,,,"39,-98,2400km",,,,,[],,,,
